Id,Element,Language,Meaning,Frequency
3073,merket,Middle English,"A market, a market-place.",3
3074,ræsn,Old English,A plank,3
3075,probably used of a plank-bridge.,Modern English,,3
3076,Personal,name (Old Norse) Old Norse,Personal name,1
3077,Personal,name (Old Norse) Old Norse,Personal name,1
3078,mór,Old Norse,A marsh,9
3079,barren upland.,Modern English,,9
3080,Personal,name (Old Norse) Old Norse,Personal name,1
3081,Personal,name (Old Norse) Old Norse,Personal name,1
3082,hnoc,Old English,A wether sheep.,2
3083,hīce,Old English,A type of bird.,1
3084,cymbe,Old English,"A depression, a hollow.",1
3085,Personal,name (Old Norse) Old Norse,Personal name,1
3086,Personal,name (Old Norse) Old Norse,Personal name,1
3087,Personal,name (Old Norse) Old Norse,Personal name,1
3088,Personal,name (Old Norse) Old Norse,Personal name,1
3089,vetus,Latin,"Old, ancient, of long standing.",3
3090,Personal,name (Old Norse) Old Norse,Personal name,1
3091,Personal,name (Old Norse) Old Norse,Personal name,1
3092,Personal,name (Old Norse) Old Norse,Personal name,1
3093,Personal,name (Old Norse) Old Norse,Personal name,1
3094,pinca,Old English,"A finch, a chaffinch.",1
3095,Personal,name (Old Norse) Old Norse,Personal name,1
3096,Personal,name (Old Norse) Old Norse,Personal name,1
3097,Personal,name (Old Norse) Old Norse,Personal name,1
3098,Personal,name (Old Norse) Old Norse,Personal name,1
3099,rēfa,Old English,"A reeve, a bailiff.",3
3100,Personal,name (Old Norse) Old Norse,Personal name,1
3101,Personal,name (Old Norse) Old Norse,Personal name,1
3102,hrōf,Old English,Roof,1
3103,used topographically of a top or summit.,Modern English,,1
3104,Personal,name (Old Norse) Old Norse,Personal name,1
3105,Personal,name (Old Norse) Old Norse,Personal name,1
3106,hrókr,Old Norse,A rook.,6
3107,Personal,name (Old Norse) Old Norse,Personal name,1
3108,Personal,name (Old Norse) Old Norse,Personal name,1
3109,Personal,name (Old Norse) Old Norse,Personal name,1
3110,Personal,name (Old Norse) Old Norse,Personal name,1
3111,Saksar,Old Norse,Saxon.,2
3112,Personal,name (Old Norse) Old Norse,Personal name,1
3113,Personal,name (Old Norse) Old Norse,Personal name,1
3114,Personal,name (Old Norse) Old Norse,Personal name,1
3115,skammr,Old Norse,Short.,1
3116,Personal,name (Old Norse) Old Norse,Personal name,1
3117,skalli,Old Norse,A bald head,1
3118,used of a bare hill.,Modern English,,1
3119,skreið,Old Norse,A land-slide.,1
3120,scrēad,Old English,A piece cut off,2
3121,a detached piece of land.,Modern English,,2
3122,Personal,name (Old Norse) Old Norse,Personal name,1
3123,Personal,name (Old Norse) Old Norse,Personal name,1
3124,Personal,name (Old Norse) Old Norse,Personal name,1
3125,Personal,name (Old Norse) Old Norse,Personal name,1
3126,secg,Old English,"Sedge, a reed, a rush.",5
3127,Personal,name (Old Norse) Old Norse,Personal name,1
3128,sēoluc,Old English,"A gulley, a small drain.",2
3129,sex,Old English,Six.,2
3130,Personal,name (Old Norse) Old Norse,Personal name,1
3131,skegg,Old Norse,Beard.,1
3132,scite,Old English,Dung.,1
3133,sciell,Old English,"Shrill, sonorous.",1
3134,scilling,Old English,A shilling.,1
3135,scīnende,Old English,Shining.,1
3136,skírn,Old Norse,"The bright one.  (The word is recorded only in the sense ""baptism"").",1
3137,skírr,Old Norse,"Clear, bright, pure.",1
3138,Personal,name (Old Norse) Old Norse,Personal name,1
3139,Personal,name (Old Norse) Old Norse,Personal name,1
3140,Personal,name (Old Norse) Old Norse,Personal name,1
3141,Personal,name (Old Norse) Old Norse,Personal name,1
3142,Personal,name (Old Norse) Old Norse,Personal name,1
3143,Personal,name (Old Norse) Old Norse,Personal name,1
3144,ferja,Old Norse,A ferry.,3
3145,Personal,name (Old Norse) Old Norse,Personal name,1
3146,Personal,name (Old Norse) Old Norse,Personal name,1
3147,spánn,Old Norse,"A chip, a wooden shingle tile.",2
3148,Personal,name (Old Norse) Old Norse,Personal name,1
3149,Personal,name (Old Norse) Old Norse,Personal name,1
3150,vale,Middle English,"A vale, a wide valley.",2
3151,sticca,Old English,"A stick, a rod, a twig, a branch.",2
3152,Personal,name (Uncertain) Unknown,Personal name,1
3153,Personal,name (Old Norse) Old Norse,Personal name,1
3154,sūr,Old English,"Sour, damp, coarse (of land).",1
3155,sútari,Old Norse,A shoe-maker.,1
3156,sūtere,Old English,A shoe-maker.,1
3157,Personal,name (Old Norse) Old Norse,Personal name,1
3158,swalg Old English,Modern English,,1
3159,Personal,name (Old Norse) Old Norse,Personal name,1
3160,Personal,name (Old Norse) Old Norse,Personal name,1
3161,sundri,Old Norse,Southern.,1
3162,svín,Old Norse,"A swine, a pig.",3
3163,Personal,name (Old Norse) Old Norse,Personal name,1
3164,bruiere,Old French,"Heath, heathland.",2
3165,Personal,name (Old Norse) Old Norse,Personal name,1
3166,thymel,Old English,A thimble.,2
3167,Personal,name (Old Norse) Old Norse,Personal name,1
3168,Thor,Old Norse,The heathen god Thor.,1
3169,Personal,name (Old Norse) Old Norse,Personal name,1
3170,Personal,name (Old Norse) Old Norse,Personal name,1
3171,Personal,name (Old Norse) Old Norse,Personal name,1
3172,timbær,Old Norse,"Timber, trees, wood.",1
3173,Personal,name (Old Norse) Old Norse,Personal name,1
3174,Personal,name (Old Norse) Old Norse,Personal name,1
3175,Personal,name (Old Norse) Old Norse,Personal name,1
3176,Personal,name (Old Norse) Old Norse,Personal name,1
3177,Personal,name (Old Norse) Old Norse,Personal name,1
3178,Wada,Old English,Masculine personal name.,1
3179,Personal,name (Old Norse) Old Norse,Personal name,1
3180,marfur,Middle English,A boundary furrow.,1
3181,Personal,name (Old Norse) Old Norse,Personal name,1
3182,cwappa,Old English,An eel-pout.,1
3183,Personal,name (Old Norse) Old Norse,Personal name,1
3184,Personal,name (Old Norse) Old Norse,Personal name,1
3185,Personal,name (Old Norse) Old Norse,Personal name,1
3186,Personal,name (Old Norse) Old Norse,Personal name,1
3187,slóth,Old Norse,"Track, trail.",1
3188,Personal,name (Old Norse) Old Norse,Personal name,1
3189,Personal,name (Old Norse) Old Norse,Personal name,1
3190,wisp,Old English,A wisp,1
3191,"a thicket, brushwood.",Modern English,,1
3192,Personal,name (Old Norse) Old Norse,Personal name,1
3193,Personal,name (Old Norse) Old Norse,Personal name,1
3194,wērloga,Old English,"A troth-breaker, a traitor, a warlock.",2
3195,eng,Old Norse,"A meadow, pasture.",2
3196,Personal,name (Old Norse) Old Norse,Personal name,1
3197,vrengill,Old Norse,A crooked place or stream.,1
3198,wrengel,Old English,A crooked place or stream.,1
3199,Personal,name (Old Norse) Old Norse,Personal name,1
3200,wrōt,Old English,A snout,1
3201,topographically a spur of land,Modern English,,1
3202,a hill projecting forward like a snout.,Modern English,,1
3203,Personal,name (Uncertain) Unknown,Personal name,1
3204,Personal,name (Old Norse) Old Norse,Personal name,1
3205,felte,Old English,"A plant-name, recorded only in compounds.",2
3206,hǣse,Old English,Land overgrown with brushwood.,2
3207,lǣl,Old English,"A twig, a switch.",2
3208,Personal,name (Old Norse) Old Norse,Personal name,1
3209,Personal,name (Old Norse) Old Norse,Personal name,1
3210,Personal,name (Old Norse) Old Norse,Personal name,1
3211,æsc-mann,Old English,"A sailor, a pirate.",1
3212,Personal,name (Uncertain) Unknown,Personal name,1
3213,Personal,name (Old Norse) Old Norse,Personal name,1
3214,Personal,name (Old Norse) Old Norse,Personal name,1
3215,bera,Old English,A bear.,2
3216,beren,Old English,Of or growing with barley.,3
3217,bȳtel,Old English,"Beetle, insect, grub.",2
3218,Personal,name (Old Norse) Old Norse,Personal name,1
3219,Personal,name (Old Norse) Old Norse,Personal name,1
3220,blā,Old English,"Blue, cold, cheerless.",1
3221,blāw,Old English,(Blue) pigment.,2
3222,Personal,name (Old Norse) Old Norse,Personal name,1
3223,Personal,name (Old Norse) Old Norse,Personal name,1
3224,brēmer,Old English,A bramble thicket.,2
3225,dūno- Celtic,Modern English,,1
3226,byrst,Old English,"A burst, a crack in the earth or soil, a landslip.",2
3227,Personal,name (Old Norse) Old Norse,Personal name,1
3228,brōmig,Old English,"Broomy, overgrown with broom.",1
3229,bel,Old English,"Interval, clearing",1
3230,Personal,name (Old Norse) Old Norse,Personal name,1
3231,fēower,Old English,Four.,3
3232,hugr,Old Norse,"A mound, a hillock.",3
3233,Personal,name (Old Norse) Old Norse,Personal name,1
3234,Personal,name (Old Norse) Old Norse,Personal name,1
3235,Personal,name (Old Norse) Old Norse,Personal name,1
3236,Personal,name (Old Norse) Old Norse,Personal name,1
3237,Personal,name (Old Norse) Old Norse,Personal name,1
3238,Personal,name (Old Norse) Old Norse,Personal name,1
3239,clenc,Old English,Possibly a hill.,1
3240,Personal,name (Old Norse) Old Norse,Personal name,1
3241,kollr,Old Norse,"A hill, a top, a summit.",3
3242,Personal,name (Old Norse) Old Norse,Personal name,1
3243,Personal,name (Old Norse) Old Norse,Personal name,1
3244,Personal,name (Old Norse) Old Norse,Personal name,1
3245,Personal,name (Old Norse) Old Norse,Personal name,1
3246,korpr,Old Norse,Raven.,1
3247,Personal,name (Old Norse) Old Norse,Personal name,1
3248,stígr,Old Norse,"A path, a narrow road. (Especially an ascending path.)",1
3249,Personal,name (Old Norse) Old Norse,Personal name,1
3250,Personal,name (Old Norse) Old Norse,Personal name,1
3251,kringla,Old Norse,A circle.,1
3252,kross,Old Norse,"A cross, the Cross.",3
3253,Personal,name (Old Norse) Old Norse,Personal name,1
3254,dēope Old English,Modern English,,1
3255,lǣce,Old English,A physician.,3
3256,eclẹ̄si̥ā Celtic,Modern English,,2
3257,fjǫl,Old Norse,"A board, a plank.",1
3258,fers,Old English,Furze.,2
3259,Personal,name (Old Norse) Old Norse,Personal name,1
3260,flicce,Old English,"A flitch, a side of bacon.",1
3261,flōre,Old English,A floor.,2
3262,Personal,name (Old Norse) Old Norse,Personal name,1
3263,Personal,name (Old Norse) Old Norse,Personal name,1
3264,Personal,name (Old Norse) Old Norse,Personal name,1
3265,Personal,name (Old Norse) Old Norse,Personal name,1
3266,Personal,name (Uncertain) Unknown,Personal name,1
3267,Personal,name (Old Norse) Old Norse,Personal name,1
3268,Personal,name (Uncertain) Unknown,Personal name,1
3269,hobbe,Old English,"A tussock, a hummock.",2
3270,gærsen,Old English,Growing with grass.,3
3271,Personal,name (Old Norse) Old Norse,Personal name,1
3272,Personal,name (Old Norse) Old Norse,Personal name,1
3273,Personal,name (Old Norse) Old Norse,Personal name,1
3274,Personal,name (Old Norse) Old Norse,Personal name,1
3275,Personal,name (Old Norse) Old Norse,Personal name,1
3276,here-geatu,Old English,"A legal term for items of war-geat given back (or a commutation fee paid in lieu) to a dead man's lord by his heirs, in token of the surrender of the deceased's holding.",1
3277,Personal,name (Old Norse) Old Norse,Personal name,1
3278,Personal,name (Old Norse) Old Norse,Personal name,1
3279,hænep,Old English,Hemp.,2
3280,Personal,name (Old Norse) Old Norse,Personal name,1
3281,hinder,Middle English,"Lying behind, the hindmost.",1
3282,hocer,Old English,"A hump, a rounded hill.",2
3283,holc,Old English,"A cavity, a hollow.",1
3284,holm,Old English,"Water, the sea, ocean (in late OE poetic usage)",2
3285,island (in late OE prose),Modern English,,2
3286,"mound, hill (possibly).",Modern English,,2
3287,hōfe,Old English,Ale-hoof (a herb).,2
3288,humele,Old English,The hop-plant.,2
3289,Personal,name (Old Norse) Old Norse,Personal name,1
3290,gyr,Old English,"Mud, filth",1
3291,a marsh.,Modern English,,1
3292,ūterra,Old English,Outer.,1
3293,Personal,name (Old Norse) Old Norse,Personal name,1
3294,lïnn Celtic,Modern English,,1
3295,Personal,name (Uncertain) Unknown,Personal name,1
3296,flax,Middle English,Flax.,2
3297,Personal,name (Old Norse) Old Norse,Personal name,1
3298,conestable,Middle English,"A constable, the chief officer of a royal household or court, the warden of a royal castle.",2
3299,mǣl,Old English,Speech.,2
3300,meðal,Old Norse,"Among, between",5
3301,middle.,Modern English,,5
3302,nearu,Old English,Narrow.,3
3303,genēat,Old English,"Companion, vassal.",1
3304,hīred,Old English,A household.,1
3305,hnecca,Old English,A neck,1
3306,topographically a neck of land.,Modern English,,1
3307,nēd Old English,Modern English,,3
3308,nova,Latin,New.,1
3309,castel,Middle English,"A large defensive building, a stronghold, a castle",1
3310,creig Celtic,Modern English,,1
3311,hreppr,Old Norse,"A district, community.",2
3312,grœnn,Old Norse,"Green, grass-grown.",1
3313,Personal,name (Old Norse) Old Norse,Personal name,1
3314,Personal,name (Uncertain) Unknown,Personal name,1
3315,pæsc(e),Old English,Puddle.,1
3316,Personal,name (Old Norse) Old Norse,Personal name,1
3317,rake,Middle English,"A narrow path (often up a hill, or leading upland and inland from a village to its pastures).",1
3318,Personal,name (Old Norse) Old Norse,Personal name,1
3319,Personal,name (Uncertain) Unknown,Personal name,1
3320,hrēoden,Old English,Growing with reeds.,1
3321,bæst,Old English,"Bast, the bark of the lime-tree used for rope-making",2
3322,the lime-tree.,Modern English,,2
3323,Personal,name (Uncertain) Unknown,Personal name,1
3324,Personal,name (Old Norse) Old Norse,Personal name,1
3325,Personal,name (Old Norse) Old Norse,Personal name,1
3326,hrif,Old English,"Belly, womb.",1
3327,Personal,name (Old Norse) Old Norse,Personal name,1
3328,Personal,name (Old Norse) Old Norse,Personal name,1
3329,scēpde Old English,Modern English,,1
3330,sculd,Old English,"An obligation, a debt, a liability.",1
3331,Personal,name (Uncertain) Unknown,Personal name,1
3332,Personal,name (Old Norse) Old Norse,Personal name,1
3333,slāh,Old English,"A sloe, the fruit of the blackthorn.",2
3334,sūðerne,Old English,"Southern, southerly.",1
3335,spic,Old English,Fat bacon.,1
3336,Personal,name (Old Norse) Old Norse,Personal name,1
3337,Personal,name (Old Norse) Old Norse,Personal name,1
3338,-lēas,Old English,"-less, without.",1
3339,strēaw,Old English,Straw,1
3340,also used in late place-names as a term of contempt.,Modern English,,1
3341,strump,Old English,A stump.,1
3342,Personal,name (Old Norse) Old Norse,Personal name,1
3343,sūðer,Old English,"South, southern.",3
3344,tǣse,Old English,"Convenient, advantageous, useful.",1
3345,Personal,name (Old Norse) Old Norse,Personal name,1
3346,Personal,name (Old Norse) Old Norse,Personal name,1
3347,Personal,name (Old Norse) Old Norse,Personal name,1
3348,Personal,name (Old Norse) Old Norse,Personal name,1
3349,Personal,name (Old Norse) Old Norse,Personal name,1
3350,Personal,name (Old Norse) Old Norse,Personal name,1
3351,Personal,name (Old Norse) Old Norse,Personal name,1
3352,Personal,name (Old Norse) Old Norse,Personal name,1
3353,þyrs,Old English,"A giant, a demon.",1
3354,tronchet,Old French,Wood (from L. truncetum).,1
3355,trūm,Celtic,Upland or plateau.,1
3356,tūn-stede,Old English,A farmstead.,1
3357,land,Old Norse,Land (as part of earth's surface),1
3358,watel,Old English,Wattle,1
3359,thatching.,Modern English,,1
3360,hvin,Old Norse,"Whin, gorse.",2
3361,bēag,Old English,"A ring, a circle",5
3362,topographically probably the circular bend of a river or in allusion to other things of ring-like form.,Modern English,,5
3363,fēorðung,Old English,"A fourth part, a quarter (of an estate or the like).",1
3364,wīf,Old English,A woman.,4
3365,Personal,name (Old Norse) Old Norse,Personal name,1
3366,blæc-þorn,Old English,"The black-thorn, the sloe.",2
3367,blǣddre,Old English,A bladder,1
3368,possibly also a plant-name.,Modern English,,1
3369,brocc-hol,Old English,"A badger hole, a sett.",1
3370,Personal,name (Old Norse) Old Norse,Personal name,1
3371,Personal,name (Old Norse) Old Norse,Personal name,1
3372,Personal,name (Uncertain) Unknown,Personal name,1
3373,Personal,name (Old Norse) Old Norse,Personal name,1
3374,Personal,name (Old Norse) Old Norse,Personal name,1
3375,Personal,name (Uncertain) Unknown,Personal name,1
3376,Personal,name (Old Norse) Old Norse,Personal name,1
3377,coð-ærn,Old English,"A sick-house, a hospital.",1
3378,corther,Old English,Dairy,1
3379,creowel,Old English,The fork of a river or road.,1
3380,dingle,Middle English,"An abyss, a deep hollow",1
3381,"a deep dell, a narrow valley.",Modern English,,1
3382,dus,Old English,A heap.,1
3383,eorl,Middle English,"A count, an earl.",1
3384,Tribal-Name,Old English,Tribal name.,1
3385,Personal,name (Uncertain) Unknown,Personal name,1
3386,Personal,name (Old Norse) Old Norse,Personal name,1
3387,feax,Old English,Hair,3
3388,"rough, coarse grass.",Modern English,,3
3389,Personal,name (Old Norse) Old Norse,Personal name,1
